Area name,Area code,region name,Owned,Proportion Owned,Rented,Proportion Rented,Ratio,Mean house price 2021
Broxbourne,E07000095,East of England,2420,0.455315146,2895,0.544684854,11.46,434763.16685
Dacorum,E07000096,East of England,3555,0.403289847,5260,0.596710153,14.04,509050.99407
Hertsmere,E07000098,East of England,1945,0.382121807,3145,0.617878193,15.51,631907.90342
North Hertfordshire,E07000099,East of England,3110,0.396430848,4735,0.603569152,11.22,451484.44051
Three Rivers,E07000102,East of England,1585,0.407455013,2305,0.592544987,14.37,612482.64485
Watford,E07000103,East of England,2025,0.290530846,4945,0.709469154,12.47,434456.28187
Breckland,E07000143,East of England,3305,0.408024691,4795,0.591975309,9.4,292395.55967
Broadland,E07000144,East of England,3600,0.559006211,2840,0.440993789,9.08,309724.50213
Great Yarmouth,E07000145,East of England,2170,0.338269680,4245,0.661730320,6.74,226192.33632
King's Lynn and West Norfolk,E07000146,East of England,3315,0.379073756,5430,0.620926244,8.93,304545.6809
North Norfolk,E07000147,East of England,1730,0.381057269,2810,0.618942731,11.44,341677.60403
Norwich,E07000148,East of England,3340,0.199284010,13420,0.800715990,7.12,257097.39837
South Norfolk,E07000149,East of England,3865,0.516021362,3625,0.483978638,9.05,329694.40046
Babergh,E07000200,East of England,1815,0.433174224,2375,0.566825776,11.84,371153.06917
Ipswich,E07000202,East of England,3785,0.335252436,7505,0.664747564,7.97,245534.95702
Mid Suffolk,E07000203,East of England,2750,0.523311132,2505,0.476688868,9.62,340840.68834
St Albans,E07000240,East of England,2795,0.396453901,4255,0.603546099,17.32,665592.70072
Welwyn Hatfield,E07000241,East of England,2370,0.312252964,5220,0.687747036,12.37,497786.6967
East Hertfordshire,E07000242,East of England,3875,0.456688273,4610,0.543311727,12.62,499271.54365
Stevenage,E07000243,East of England,2430,0.386020651,3865,0.613979349,8.29,327354.98615
East Suffolk,E07000244,East of England,4930,0.402284782,7325,0.597715218,9.74,328922.45302
West Suffolk,E07000245,East of England,4485,0.305725971,10185,0.694274029,9.5,319932.70438
City of London,E09000001,London,240,0.138728324,1490,0.861271676,11.48,969954.70588
Barking and Dagenham,E09000002,London,3420,0.284171167,8615,0.715828833,10.3,336907.59746
Barnet,E09000003,London,6405,0.270025295,17315,0.729974705,16.55,702392.70508
Bexley,E09000004,London,5955,0.476972367,6530,0.523027633,13.26,410781.86052
Brent,E09000005,London,4010,0.200550138,15985,0.799449862,16.05,616836.20114
Bromley,E09000006,London,7245,0.423808131,9850,0.576191869,14.54,559938.86316
Camden,E09000007,London,3695,0.152151534,20590,0.847848466,18.61,1156343.9806
Croydon,E09000008,London,8380,0.335871743,16570,0.664128257,11.88,446899.24068
Ealing,E09000009,London,5025,0.231673582,16665,0.768326418,16.35,618360.42911
Enfield,E09000010,London,4145,0.260200879,11785,0.739799121,14.92,529972.86132
Greenwich,E09000011,London,6720,0.284926860,16865,0.715073140,13.35,509049.27493
Hackney,E09000012,London,5170,0.174455880,24465,0.825544120,14.92,693851.9891
Hammersmith and Fulham,E09000013,London,4575,0.198438517,18480,0.801561483,19.32,959177.86443
Haringey,E09000014,London,4065,0.200691187,16190,0.799308813,17.26,683421.96492
Harrow,E09000015,London,3235,0.285651214,8090,0.714348786,16.15,560828.67587
Havering,E09000016,London,6355,0.458679177,7500,0.541320823,12.52,433132.41548
Hillingdon,E09000017,London,4770,0.300472441,11105,0.699527559,13.56,490657.02846
Hounslow,E09000018,London,3675,0.231350331,12210,0.768649669,12.13,571096.24784
Islington,E09000019,London,4835,0.165073404,24455,0.834926596,14.73,810046.07746
Kensington and Chelsea,E09000020,London,2705,0.179853723,12335,0.820146277,36.52,2124227.0724
Kingston upon Thames,E09000021,London,3215,0.299906716,7505,0.700093284,15.22,624086.60169
Lambeth,E09000022,London,10065,0.254295099,29515,0.745704901,15.63,702690.59394
Lewisham,E09000023,London,7160,0.275120077,18865,0.724879923,14.23,520789.58731
Merton,E09000024,London,4205,0.302300503,9705,0.697699497,15.89,704388.43229
Newham,E09000025,London,6070,0.225524800,20845,0.774475200,11.72,453883.71912
Redbridge,E09000026,London,4110,0.285119667,10305,0.714880333,15.84,525072.86826
Richmond upon Thames,E09000027,London,2825,0.296899632,6690,0.703100368,19.62,888995.10892
Southwark,E09000028,London,8265,0.227341494,28090,0.772658506,13.51,673040.89092
Sutton,E09000029,London,4415,0.400271985,6615,0.599728015,14.24,470383.90401
Tower Hamlets,E09000030,London,8095,0.183248444,36080,0.816751556,11,624886.83251
Waltham Forest,E09000031,London,6060,0.326332795,12510,0.673667205,15.57,516831.34137
Wandsworth,E09000032,London,10960,0.265922601,30255,0.734077399,19.1,805355.11222
Westminster,E09000033,London,3770,0.145531751,22135,0.854468249,18.88,1589850.6016
Medway,E06000035,South East,7665,0.429772918,10170,0.570227082,8.72,307918.74475
Bracknell Forest,E06000036,South East,3895,0.485660848,4125,0.514339152,9.05,435644.65059
West Berkshire,E06000037,South East,3510,0.413671184,4975,0.586328816,9.73,446518.18776
Reading,E06000038,South East,3915,0.260132890,11135,0.739867110,9.42,360483.03739
Slough,E06000039,South East,1995,0.245387454,6135,0.754612546,8.99,369106.18648
Windsor and Maidenhead,E06000040,South East,2420,0.348954578,4515,0.651045422,15.21,654003.83214
Wokingham,E06000041,South East,4560,0.530849825,4030,0.469150175,11.84,488034.46616
Milton Keynes,E06000042,South East,7415,0.391086498,11545,0.608913502,9.79,353344.20153
Brighton and Hove,E06000043,South East,4860,0.192895416,20335,0.807104584,12.86,470367.2833
Portsmouth,E06000044,South East,5035,0.273121779,13400,0.726878221,7.54,266978.02917
Southampton,E06000045,South East,6225,0.252894576,18390,0.747105424,7.33,246016.21049
Isle of Wight,E06000046,South East,2450,0.341939986,4715,0.658060014,10,301192.44667
Buckinghamshire,E06000060,South East,12195,0.444262295,15255,0.555737705,12.35,542174.25805
Eastbourne,E07000061,South East,1720,0.285240464,4310,0.714759536,9.42,305716.99196
Hastings,E07000062,South East,1765,0.303004292,4060,0.696995708,10.78,286236.46967
Lewes,E07000063,South East,1690,0.402380952,2510,0.597619048,11.64,421843.85294
Rother,E07000064,South East,1520,0.422809458,2075,0.577190542,13.82,394178.01794
Wealden,E07000065,South East,3355,0.511823036,3200,0.488176964,13.76,449470.69285
Basingstoke and Deane,E07000084,South East,5380,0.434396447,7005,0.565603553,9.24,396012.18372
East Hampshire,E07000085,South East,2705,0.474145486,3000,0.525854514,14.51,491635.81763
Eastleigh,E07000086,South East,4430,0.514219385,4185,0.485780615,9.75,357795.31991
Fareham,E07000087,South East,2690,0.507547170,2610,0.492452830,10.74,361339.01638
Gosport,E07000088,South East,1955,0.375239923,3255,0.624760077,6.68,259866.71982
Hart,E07000089,South East,2385,0.521311475,2190,0.478688525,11.45,505721.91794
Havant,E07000090,South East,2905,0.434554974,3780,0.565445026,10.17,344233.34084
New Forest,E07000091,South East,3220,0.451929825,3905,0.548070175,12.52,454043.66027
Rushmoor,E07000092,South East,2790,0.398856326,4205,0.601143674,9.74,340177.46611
Test Valley,E07000093,South East,3550,0.488980716,3710,0.511019284,10.6,408576.62576
Winchester,E07000094,South East,2350,0.341074020,4540,0.658925980,14.14,573301.44764
Ashford,E07000105,South East,3320,0.422929936,4530,0.577070064,10.45,375472.12579
Canterbury,E07000106,South East,2645,0.255308880,7715,0.744691120,12.86,384329.90314
Dartford,E07000107,South East,4330,0.526443769,3895,0.473556231,8.86,361325.57561
Dover,E07000108,South East,2620,0.402457757,3890,0.597542243,9.25,325974.21041
Gravesham,E07000109,South East,2335,0.380603097,3800,0.619396903,10.9,359846.80841
Maidstone,E07000110,South East,4605,0.425011537,6230,0.574988463,10.85,382693.09028
Sevenoaks,E07000111,South East,2585,0.507858546,2505,0.492141454,14.47,554752.6614
Folkestone and Hythe,E07000112,South East,2060,0.366874443,3555,0.633125557,11.2,339996.57823
Swale,E07000113,South East,4070,0.459887006,4780,0.540112994,10.1,318748.76455
Thanet,E07000114,South East,2455,0.296139928,5835,0.703860072,10.74,317129.8206
Tonbridge and Malling,E07000115,South East,3665,0.539367182,3130,0.460632818,13.39,435915.92677
Tunbridge Wells,E07000116,South East,2335,0.374198718,3905,0.625801282,15.42,535444.75063
Cherwell,E07000177,South East,4450,0.417252696,6215,0.582747304,10.28,380100.07006
Oxford,E07000178,South East,1955,0.153093187,10815,0.846906813,12.05,565364.00515
South Oxfordshire,E07000179,South East,3495,0.454486346,4195,0.545513654,13.07,550127.50569
Vale of White Horse,E07000180,South East,3700,0.436320755,4780,0.563679245,9.96,438990.44943
West Oxfordshire,E07000181,South East,2595,0.416532905,3635,0.583467095,11.4,444206.12618
Elmbridge,E07000207,South East,2490,0.450678733,3035,0.549321267,17.78,838633.16061
Epsom and Ewell,E07000208,South East,1525,0.447214076,1885,0.552785924,17.98,546747.41888
Guildford,E07000209,South East,2665,0.304919908,6075,0.695080092,13.2,604264.99127
Mole Valley,E07000210,South East,1545,0.459821429,1815,0.540178571,13.84,634137.94352
Reigate and Banstead,E07000211,South East,3780,0.481835564,4065,0.518164436,13.58,537503.49605
Runnymede,E07000212,South East,2090,0.377256318,3450,0.622743682,10.39,566840.49479
Spelthorne,E07000213,South East,2170,0.397072278,3295,0.602927722,12.66,456854.59327
Surrey Heath,E07000214,South East,1850,0.448484848,2275,0.551515152,11.84,512270.7052
Tandridge,E07000215,South East,1915,0.512717537,1820,0.487282463,16.12,575718.39791
Waverley,E07000216,South East,2160,0.402985075,3200,0.597014925,18.32,635074.13983
Woking,E07000217,South East,2285,0.386632826,3625,0.613367174,13.12,534436.52525
Adur,E07000223,South East,1280,0.454706927,1535,0.545293073,13.41,390320.6374
Arun,E07000224,South East,3225,0.411614550,4610,0.588385450,12.16,382822.10283
Chichester,E07000225,South East,1780,0.302978723,4095,0.697021277,14.61,523856.7523
Crawley,E07000226,South East,2975,0.374921235,4960,0.625078765,8.99,335157.61974
Horsham,E07000227,South East,3500,0.469483568,3955,0.530516432,13.93,485316.16795
Mid Sussex,E07000228,South East,3675,0.487077535,3870,0.512922465,13.39,466611.29705
Worthing,E07000229,South East,2455,0.369172932,4195,0.630827068,11.32,361572.54099
Bath and North East Somerset,E06000022,South West,4520,0.314107019,9870,0.685892981,12.15,461576.13041
"Bristol, City of",E06000023,South West,14695,0.300173629,34260,0.699826371,9.7,366762.46244
North Somerset,E06000024,South West,5085,0.432030586,6685,0.567969414,10.58,346565.47191
South Gloucestershire,E06000025,South West,9455,0.485618901,10015,0.514381099,8.82,335999.43517
Plymouth,E06000026,South West,7245,0.327976460,14845,0.672023540,7.27,220978.73332
Torbay,E06000027,South West,2515,0.339406208,4895,0.660593792,8.9,266810.58042
Swindon,E06000030,South West,6530,0.417119131,9125,0.582880869,7.69,269653.8369
Cornwall,E06000052,South West,11080,0.363875205,19370,0.636124795,10.99,332625.24495
Wiltshire,E06000054,South West,10620,0.383186000,17095,0.616814000,10.32,362606.32137
"Bournemouth, Christchurch and Poole",E06000058,South West,8620,0.324426044,17950,0.675573956,11.17,397942.11756
Dorset,E06000059,South West,6375,0.394614670,9780,0.605385330,12.22,376130.18728
East Devon,E07000040,South West,3050,0.455563854,3645,0.544436146,10.88,361779.99682
Exeter,E07000041,South West,3005,0.268783542,8175,0.731216458,9.22,320535.74009
Mid Devon,E07000042,South West,1745,0.414982164,2460,0.585017836,9.29,316463.35294
North Devon,E07000043,South West,1945,0.374759152,3245,0.625240848,10.46,315595.27928
South Hams,E07000044,South West,1550,0.449927431,1895,0.550072569,12.56,445080.25067
Teignbridge,E07000045,South West,2790,0.4359375,3610,0.5640625,11.4,327988.62623
Torridge,E07000046,South West,1275,0.395962733,1945,0.604037267,10.34,296411.48718
West Devon,E07000047,South West,840,0.384439359,1345,0.615560641,11.96,329261.33835
Cheltenham,E07000078,South West,3275,0.326032852,6770,0.673967148,10.55,387141.36495
Cotswold,E07000079,South West,1570,0.368112544,2695,0.631887456,15.75,509196.44886
Forest of Dean,E07000080,South West,1930,0.451461988,2345,0.548538012,10.62,310846.05705
Gloucester,E07000081,South West,4095,0.401864573,6095,0.598135427,7.34,241259.66667
Stroud,E07000082,South West,2860,0.490145673,2975,0.509854327,10.27,371026.27751
Tewkesbury,E07000083,South West,2915,0.510061242,2800,0.489938758,9.15,355705.86042
Mendip,E07000187,South West,2410,0.420226678,3325,0.579773322,11.22,357817.40649
Sedgemoor,E07000188,South West,3025,0.419847328,4180,0.580152672,9,287811.42631
South Somerset,E07000189,South West,3875,0.392008093,6010,0.607991907,8.8,316105.49275
Somerset West and Taunton,E07000246,South West,3445,0.384057971,5525,0.615942029,9.16,301991.42653
Isle of Anglesey,W06000001,Wales,1255,0.359084406,2240,0.640915594,6.8,237466.15169
Gwynedd,W06000002,Wales,2380,0.321839080,5015,0.678160920,6.81,212892.77168
Conwy,W06000003,Wales,2180,0.381452318,3535,0.618547682,7.37,224920.78267
Denbighshire,W06000004,Wales,1905,0.365292426,3310,0.634707574,6.29,209444.55536
Flintshire,W06000005,Wales,4395,0.5,4395,0.5,6.19,212452.30328
Wrexham,W06000006,Wales,3035,0.353935860,5540,0.646064140,5.92,200795.14879
Ceredigion,W06000008,Wales,1130,0.271308523,3035,0.728691477,7.82,231482.77984
Pembrokeshire,W06000009,Wales,2440,0.351585014,4500,0.648414986,7.21,224297.74642
Carmarthenshire,W06000010,Wales,4485,0.437774524,5760,0.562225476,5.72,192112.81602
Swansea,W06000011,Wales,5665,0.315862838,12270,0.684137162,6.1,210569.9449
Neath Port Talbot,W06000012,Wales,3925,0.440269209,4990,0.559730791,4.42,152991.79862
Bridgend,W06000013,Wales,4430,0.484948002,4705,0.515051998,5.75,201197.18622
Vale of Glamorgan,W06000014,Wales,3575,0.471635884,4005,0.528364116,9.66,296737.4922
Cardiff,W06000015,Wales,9955,0.290317877,24335,0.709682123,8.14,270040.29102
Rhondda Cynon Taf,W06000016,Wales,7150,0.422576832,9770,0.577423168,4.88,155458.47393
Caerphilly,W06000018,Wales,5205,0.458388375,6150,0.541611625,5.24,176094.55078
Blaenau Gwent,W06000019,Wales,1830,0.371196755,3100,0.628803245,3.63,126173.9324
Torfaen,W06000020,Wales,2670,0.423473434,3635,0.576526566,5.63,198682.73673
Monmouthshire,W06000021,Wales,1740,0.422843256,2375,0.577156744,10.38,328910.7962
Newport,W06000022,Wales,4945,0.427583225,6620,0.572416775,7.08,228115.24314
Powys,W06000023,Wales,2340,0.366197183,4050,0.633802817,7.74,238120.99954
Merthyr Tydfil,W06000024,Wales,1700,0.394889663,2605,0.605110337,4.87,150815.99861
