region name,Area code,Area name,Owned,Proportion Owned,Rented,Proportion Rented,Ratio
North East,E06000001,Hartlepool,2285,0.334798535,4540,0.665201465,4.58
North East,E06000002,Middlesbrough,3655,0.304076539,8365,0.695923461,5.12
North East,E06000003,Redcar and Cleveland,3445,0.407451212,5010,0.592548788,5.61
North East,E06000004,Stockton-on-Tees,5925,0.449886105,7245,0.550113895,5.35
North East,E06000005,Darlington,2945,0.365611421,5110,0.634388579,5.29
North West,E06000006,Halton,3115,0.35,5785,0.65,5.47
North West,E06000007,Warrington,5510,0.418375095,7660,0.581624905,7.08
North West,E06000008,Blackburn with Darwen,3685,0.379115226,6035,0.620884774,4.85
North West,E06000009,Blackpool,3265,0.312589756,7180,0.687410244,4.34
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",7470,0.294326241,17910,0.705673759,4.39
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,8415,0.492249196,8680,0.507750804,7.24
Yorkshire and The Humber,E06000012,North East Lincolnshire,4225,0.368191721,7250,0.631808279,5.53
Yorkshire and The Humber,E06000013,North Lincolnshire,4335,0.419043016,6010,0.580956984,5.42
Yorkshire and The Humber,E06000014,York,4935,0.300822920,11470,0.699177080,8.41
East Midlands,E06000015,Derby,6405,0.328883184,13070,0.671116816,5.08
East Midlands,E06000016,Leicester,5260,0.206072478,20265,0.793927522,7.57
East Midlands,E06000017,Rutland,650,0.390390390,1015,0.609609610,12.12
East Midlands,E06000018,Nottingham,6825,0.212220149,25335,0.787779851,5.81
West Midlands,E06000019,"Herefordshire, County of",3555,0.357825868,6380,0.642174132,10.27
West Midlands,E06000020,Telford and Wrekin,4640,0.355828221,8400,0.644171779,6.53
West Midlands,E06000021,Stoke-on-Trent,7055,0.330135704,14315,0.669864296,4.58
South West,E06000022,Bath and North East Somerset,4520,0.314107019,9870,0.685892981,12.15
South West,E06000023,"Bristol, City of",14695,0.300173629,34260,0.699826371,9.7
South West,E06000024,North Somerset,5085,0.432030586,6685,0.567969414,10.58
South West,E06000025,South Gloucestershire,9455,0.485618901,10015,0.514381099,8.82
South West,E06000026,Plymouth,7245,0.327976460,14845,0.672023540,7.27
South West,E06000027,Torbay,2515,0.339406208,4895,0.660593792,8.9
South West,E06000030,Swindon,6530,0.417119131,9125,0.582880869,7.69
East of England,E06000031,Peterborough,5440,0.338835254,10615,0.661164746,7.34
East of England,E06000032,Luton,3785,0.271618227,10150,0.728381773,8.11
East of England,E06000033,Southend-on-Sea,4110,0.350383632,7620,0.649616368,11.13
East of England,E06000034,Thurrock,5125,0.460881295,5995,0.539118705,10.26
South East,E06000035,Medway,7665,0.429772918,10170,0.570227082,8.72
South East,E06000036,Bracknell Forest,3895,0.485660848,4125,0.514339152,9.05
South East,E06000037,West Berkshire,3510,0.413671184,4975,0.586328816,9.73
South East,E06000038,Reading,3915,0.260132890,11135,0.739867110,9.42
South East,E06000039,Slough,1995,0.245387454,6135,0.754612546,8.99
South East,E06000040,Windsor and Maidenhead,2420,0.348954578,4515,0.651045422,15.21
South East,E06000041,Wokingham,4560,0.530849825,4030,0.469150175,11.84
South East,E06000042,Milton Keynes,7415,0.391086498,11545,0.608913502,9.79
South East,E06000043,Brighton and Hove,4860,0.192895416,20335,0.807104584,12.86
South East,E06000044,Portsmouth,5035,0.273121779,13400,0.726878221,7.54
South East,E06000045,Southampton,6225,0.252894576,18390,0.747105424,7.33
South East,E06000046,Isle of Wight,2450,0.341939986,4715,0.658060014,10
North East,E06000047,County Durham,13305,0.358335578,23825,0.641664422,4.74
North West,E06000049,Cheshire East,10920,0.473649967,12135,0.526350033,8.79
North West,E06000050,Cheshire West and Chester,9650,0.426236749,12990,0.573763251,7.18
West Midlands,E06000051,Shropshire,6600,0.407156076,9610,0.592843924,9.05
South West,E06000052,Cornwall,11080,0.363875205,19370,0.636124795,10.99
South West,E06000054,Wiltshire,10620,0.383186000,17095,0.616814000,10.32
East of England,E06000055,Bedford,5025,0.415289256,7075,0.584710744,10.19
East of England,E06000056,Central Bedfordshire,9495,0.537655719,8165,0.462344281,10.8
North East,E06000057,Northumberland,7135,0.395839112,10890,0.604160888,6.77
South West,E06000058,"Bournemouth, Christchurch and Poole",8620,0.324426044,17950,0.675573956,11.17
South West,E06000059,Dorset,6375,0.394614670,9780,0.605385330,12.22
South East,E06000060,Buckinghamshire,12195,0.444262295,15255,0.555737705,12.35
East Midlands,E06000061,North Northamptonshire,9610,0.414492129,13575,0.585507871,8.2
East Midlands,E06000062,West Northamptonshire,11375,0.406177468,16630,0.593822532,9.53
East of England,E07000008,Cambridge,2285,0.169008876,11235,0.830991124,12.61
East of England,E07000009,East Cambridgeshire,2205,0.45,2695,0.55,10.66
East of England,E07000010,Fenland,2670,0.412355212,3805,0.587644788,8.91
East of England,E07000011,Huntingdonshire,5020,0.446023989,6235,0.553976011,9.62
East of England,E07000012,South Cambridgeshire,3620,0.430952381,4780,0.569047619,10.55
North West,E07000026,Allerdale,2595,0.453275109,3130,0.546724891,6.6
North West,E07000027,Barrow-in-Furness,2675,0.496750232,2710,0.503249768,3.74
North West,E07000028,Carlisle,3415,0.411445783,4885,0.588554217,5.41
North West,E07000029,Copeland,2230,0.512055109,2125,0.487944891,2.71
North West,E07000030,Eden,1150,0.451866405,1395,0.548133595,8.39
North West,E07000031,South Lakeland,2155,0.445708376,2680,0.554291624,10.12
East Midlands,E07000032,Amber Valley,3790,0.490932642,3930,0.509067358,6.69
East Midlands,E07000033,Bolsover,2745,0.484982332,2915,0.515017668,6.07
East Midlands,E07000034,Chesterfield,2820,0.3671875,4860,0.6328125,6.45
East Midlands,E07000035,Derbyshire Dales,1205,0.438979964,1540,0.561020036,10.21
East Midlands,E07000036,Erewash,3570,0.453333333,4305,0.546666667,6.28
East Midlands,E07000037,High Peak,2320,0.459861249,2725,0.540138751,8.24
East Midlands,E07000038,North East Derbyshire,3030,0.502904564,2995,0.497095436,8.12
East Midlands,E07000039,South Derbyshire,4210,0.576317591,3095,0.423682409,7.35
South West,E07000040,East Devon,3050,0.455563854,3645,0.544436146,10.88
South West,E07000041,Exeter,3005,0.268783542,8175,0.731216458,9.22
South West,E07000042,Mid Devon,1745,0.414982164,2460,0.585017836,9.29
South West,E07000043,North Devon,1945,0.374759152,3245,0.625240848,10.46
South West,E07000044,South Hams,1550,0.449927431,1895,0.550072569,12.56
South West,E07000045,Teignbridge,2790,0.4359375,3610,0.5640625,11.4
South West,E07000046,Torridge,1275,0.395962733,1945,0.604037267,10.34
South West,E07000047,West Devon,840,0.384439359,1345,0.615560641,11.96
South East,E07000061,Eastbourne,1720,0.285240464,4310,0.714759536,9.42
South East,E07000062,Hastings,1765,0.303004292,4060,0.696995708,10.78
South East,E07000063,Lewes,1690,0.402380952,2510,0.597619048,11.64
South East,E07000064,Rother,1520,0.422809458,2075,0.577190542,13.82
South East,E07000065,Wealden,3355,0.511823036,3200,0.488176964,13.76
East of England,E07000066,Basildon,5425,0.439627229,6915,0.560372771,10.36
East of England,E07000067,Braintree,4280,0.479551821,4645,0.520448179,10.6
East of England,E07000068,Brentwood,2230,0.506242906,2175,0.493757094,16.08
East of England,E07000069,Castle Point,2325,0.591603053,1605,0.408396947,12.37
East of England,E07000070,Chelmsford,5150,0.463755065,5955,0.536244935,11.78
East of England,E07000071,Colchester,5120,0.357417103,9205,0.642582897,10.38
East of England,E07000072,Epping Forest,2925,0.455252918,3500,0.544747082,15.42
East of England,E07000073,Harlow,2610,0.388104089,4115,0.611895911,11.03
East of England,E07000074,Maldon,1515,0.543010753,1275,0.456989247,13.18
East of England,E07000075,Rochford,2280,0.617886179,1410,0.382113821,12.22
East of England,E07000076,Tendring,3125,0.421727395,4285,0.578272605,9.28
East of England,E07000077,Uttlesford,1895,0.473158552,2110,0.526841448,13.4
South West,E07000078,Cheltenham,3275,0.326032852,6770,0.673967148,10.55
South West,E07000079,Cotswold,1570,0.368112544,2695,0.631887456,15.75
South West,E07000080,Forest of Dean,1930,0.451461988,2345,0.548538012,10.62
South West,E07000081,Gloucester,4095,0.401864573,6095,0.598135427,7.34
South West,E07000082,Stroud,2860,0.490145673,2975,0.509854327,10.27
South West,E07000083,Tewkesbury,2915,0.510061242,2800,0.489938758,9.15
South East,E07000084,Basingstoke and Deane,5380,0.434396447,7005,0.565603553,9.24
South East,E07000085,East Hampshire,2705,0.474145486,3000,0.525854514,14.51
South East,E07000086,Eastleigh,4430,0.514219385,4185,0.485780615,9.75
South East,E07000087,Fareham,2690,0.507547170,2610,0.492452830,10.74
South East,E07000088,Gosport,1955,0.375239923,3255,0.624760077,6.68
South East,E07000089,Hart,2385,0.521311475,2190,0.478688525,11.45
South East,E07000090,Havant,2905,0.434554974,3780,0.565445026,10.17
South East,E07000091,New Forest,3220,0.451929825,3905,0.548070175,12.52
South East,E07000092,Rushmoor,2790,0.398856326,4205,0.601143674,9.74
South East,E07000093,Test Valley,3550,0.488980716,3710,0.511019284,10.6
South East,E07000094,Winchester,2350,0.341074020,4540,0.658925980,14.14
East of England,E07000095,Broxbourne,2420,0.455315146,2895,0.544684854,11.46
East of England,E07000096,Dacorum,3555,0.403289847,5260,0.596710153,14.04
East of England,E07000098,Hertsmere,1945,0.382121807,3145,0.617878193,15.51
East of England,E07000099,North Hertfordshire,3110,0.396430848,4735,0.603569152,11.22
East of England,E07000102,Three Rivers,1585,0.407455013,2305,0.592544987,14.37
East of England,E07000103,Watford,2025,0.290530846,4945,0.709469154,12.47
South East,E07000105,Ashford,3320,0.422929936,4530,0.577070064,10.45
South East,E07000106,Canterbury,2645,0.255308880,7715,0.744691120,12.86
South East,E07000107,Dartford,4330,0.526443769,3895,0.473556231,8.86
South East,E07000108,Dover,2620,0.402457757,3890,0.597542243,9.25
South East,E07000109,Gravesham,2335,0.380603097,3800,0.619396903,10.9
South East,E07000110,Maidstone,4605,0.425011537,6230,0.574988463,10.85
South East,E07000111,Sevenoaks,2585,0.507858546,2505,0.492141454,14.47
South East,E07000112,Folkestone and Hythe,2060,0.366874443,3555,0.633125557,11.2
South East,E07000113,Swale,4070,0.459887006,4780,0.540112994,10.1
South East,E07000114,Thanet,2455,0.296139928,5835,0.703860072,10.74
South East,E07000115,Tonbridge and Malling,3665,0.539367182,3130,0.460632818,13.39
South East,E07000116,Tunbridge Wells,2335,0.374198718,3905,0.625801282,15.42
North West,E07000117,Burnley,2400,0.349599417,4465,0.650400583,4.69
North West,E07000118,Chorley,3375,0.488069414,3540,0.511930586,7.02
North West,E07000119,Fylde,1805,0.454659950,2165,0.545340050,6.75
North West,E07000120,Hyndburn,2360,0.402730375,3500,0.597269625,4.26
North West,E07000121,Lancaster,3515,0.359959037,6250,0.640040963,6.34
North West,E07000122,Pendle,2355,0.414248021,3330,0.585751979,5.34
North West,E07000123,Preston,3840,0.307077169,8665,0.692922831,5.54
North West,E07000124,Ribble Valley,1620,0.570422535,1220,0.429577465,6.43
North West,E07000125,Rossendale,2115,0.483428571,2260,0.516571429,7.12
North West,E07000126,South Ribble,3615,0.549392097,2965,0.450607903,5.98
North West,E07000127,West Lancashire,2630,0.412872841,3740,0.587127159,7.47
North West,E07000128,Wyre,2575,0.464382326,2970,0.535617674,6.81
East Midlands,E07000129,Blaby,3385,0.576660988,2485,0.423339012,8.07
East Midlands,E07000130,Charnwood,5060,0.404638145,7445,0.595361855,8.41
East Midlands,E07000131,Harborough,2555,0.543617021,2145,0.456382979,10.69
East Midlands,E07000132,Hinckley and Bosworth,3600,0.522117476,3295,0.477882524,8.38
East Midlands,E07000133,Melton,1205,0.445471349,1500,0.554528651,12.27
East Midlands,E07000134,North West Leicestershire,3570,0.523076923,3255,0.476923077,7.99
East Midlands,E07000135,Oadby and Wigston,1205,0.456439394,1435,0.543560606,10.14
East Midlands,E07000136,Boston,1560,0.342480790,2995,0.657519210,7.58
East Midlands,E07000137,East Lindsey,2600,0.369056068,4445,0.630943932,7.53
East Midlands,E07000138,Lincoln,2685,0.245093565,8270,0.754906435,5.97
East Midlands,E07000139,North Kesteven,3400,0.505952381,3320,0.494047619,8.16
East Midlands,E07000140,South Holland,2425,0.438517179,3105,0.561482821,8.53
East Midlands,E07000141,South Kesteven,3435,0.422509225,4695,0.577490775,9.01
East Midlands,E07000142,West Lindsey,2360,0.449523810,2890,0.550476190,6.85
East of England,E07000143,Breckland,3305,0.408024691,4795,0.591975309,9.4
East of England,E07000144,Broadland,3600,0.559006211,2840,0.440993789,9.08
East of England,E07000145,Great Yarmouth,2170,0.338269680,4245,0.661730320,6.74
East of England,E07000146,King's Lynn and West Norfolk,3315,0.379073756,5430,0.620926244,8.93
East of England,E07000147,North Norfolk,1730,0.381057269,2810,0.618942731,11.44
East of England,E07000148,Norwich,3340,0.199284010,13420,0.800715990,7.12
East of England,E07000149,South Norfolk,3865,0.516021362,3625,0.483978638,9.05
Yorkshire and The Humber,E07000163,Craven,1225,0.465779468,1405,0.534220532,8.19
Yorkshire and The Humber,E07000164,Hambleton,1835,0.416099773,2575,0.583900227,9.72
Yorkshire and The Humber,E07000165,Harrogate,3345,0.412199630,4770,0.587800370,10.89
Yorkshire and The Humber,E07000166,Richmondshire,765,0.289772727,1875,0.710227273,8.46
Yorkshire and The Humber,E07000167,Ryedale,1115,0.423149905,1520,0.576850095,9.47
Yorkshire and The Humber,E07000168,Scarborough,2285,0.355365474,4145,0.644634526,6.98
Yorkshire and The Humber,E07000169,Selby,3290,0.562874251,2555,0.437125749,7.07
East Midlands,E07000170,Ashfield,3990,0.454960091,4780,0.545039909,6.15
East Midlands,E07000171,Bassetlaw,3395,0.463481229,3930,0.536518771,6.81
East Midlands,E07000172,Broxtowe,3265,0.431592862,4300,0.568407138,7.98
East Midlands,E07000173,Gedling,3690,0.511080332,3530,0.488919668,8.09
East Midlands,E07000174,Mansfield,3075,0.388748420,4835,0.611251580,6.2
East Midlands,E07000175,Newark and Sherwood,3435,0.462938005,3985,0.537061995,7.99
East Midlands,E07000176,Rushcliffe,3120,0.478894858,3395,0.521105142,10.31
South East,E07000177,Cherwell,4450,0.417252696,6215,0.582747304,10.28
South East,E07000178,Oxford,1955,0.153093187,10815,0.846906813,12.05
South East,E07000179,South Oxfordshire,3495,0.454486346,4195,0.545513654,13.07
South East,E07000180,Vale of White Horse,3700,0.436320755,4780,0.563679245,9.96
South East,E07000181,West Oxfordshire,2595,0.416532905,3635,0.583467095,11.4
South West,E07000187,Mendip,2410,0.420226678,3325,0.579773322,11.22
South West,E07000188,Sedgemoor,3025,0.419847328,4180,0.580152672,9
South West,E07000189,South Somerset,3875,0.392008093,6010,0.607991907,8.8
West Midlands,E07000192,Cannock Chase,3365,0.465421853,3865,0.534578147,6.67
West Midlands,E07000193,East Staffordshire,3430,0.419315403,4750,0.580684597,7.46
West Midlands,E07000194,Lichfield,2860,0.498692241,2875,0.501307759,10.6
West Midlands,E07000195,Newcastle-under-Lyme,3375,0.415640394,4745,0.584359606,6.38
West Midlands,E07000196,South Staffordshire,2400,0.517241379,2240,0.482758621,8.43
West Midlands,E07000197,Stafford,3505,0.417510423,4890,0.582489577,7.71
West Midlands,E07000198,Staffordshire Moorlands,2430,0.542410714,2050,0.457589286,6.57
West Midlands,E07000199,Tamworth,2445,0.459586466,2875,0.540413534,8.59
East of England,E07000200,Babergh,1815,0.433174224,2375,0.566825776,11.84
East of England,E07000202,Ipswich,3785,0.335252436,7505,0.664747564,7.97
East of England,E07000203,Mid Suffolk,2750,0.523311132,2505,0.476688868,9.62
South East,E07000207,Elmbridge,2490,0.450678733,3035,0.549321267,17.78
South East,E07000208,Epsom and Ewell,1525,0.447214076,1885,0.552785924,17.98
South East,E07000209,Guildford,2665,0.304919908,6075,0.695080092,13.2
South East,E07000210,Mole Valley,1545,0.459821429,1815,0.540178571,13.84
South East,E07000211,Reigate and Banstead,3780,0.481835564,4065,0.518164436,13.58
South East,E07000212,Runnymede,2090,0.377256318,3450,0.622743682,10.39
South East,E07000213,Spelthorne,2170,0.397072278,3295,0.602927722,12.66
South East,E07000214,Surrey Heath,1850,0.448484848,2275,0.551515152,11.84
South East,E07000215,Tandridge,1915,0.512717537,1820,0.487282463,16.12
South East,E07000216,Waverley,2160,0.402985075,3200,0.597014925,18.32
South East,E07000217,Woking,2285,0.386632826,3625,0.613367174,13.12
West Midlands,E07000218,North Warwickshire,1795,0.495856354,1825,0.504143646,8.23
West Midlands,E07000219,Nuneaton and Bedworth,4215,0.452982268,5090,0.547017732,7.73
West Midlands,E07000220,Rugby,3360,0.454976303,4025,0.545023697,7.47
West Midlands,E07000221,Stratford-on-Avon,3285,0.477470930,3595,0.522529070,10.62
West Midlands,E07000222,Warwick,4095,0.359210526,7305,0.640789474,10.73
South East,E07000223,Adur,1280,0.454706927,1535,0.545293073,13.41
South East,E07000224,Arun,3225,0.411614550,4610,0.588385450,12.16
South East,E07000225,Chichester,1780,0.302978723,4095,0.697021277,14.61
South East,E07000226,Crawley,2975,0.374921235,4960,0.625078765,8.99
South East,E07000227,Horsham,3500,0.469483568,3955,0.530516432,13.93
South East,E07000228,Mid Sussex,3675,0.487077535,3870,0.512922465,13.39
South East,E07000229,Worthing,2455,0.369172932,4195,0.630827068,11.32
West Midlands,E07000234,Bromsgrove,2360,0.514721919,2225,0.485278081,11.43
West Midlands,E07000235,Malvern Hills,1355,0.396778917,2060,0.603221083,11.9
West Midlands,E07000236,Redditch,2565,0.425373134,3465,0.574626866,7.57
West Midlands,E07000237,Worcester,2755,0.324308417,5740,0.675691583,8.26
West Midlands,E07000238,Wychavon,2915,0.427106227,3910,0.572893773,10.39
West Midlands,E07000239,Wyre Forest,2440,0.423979149,3315,0.576020851,7.85
East of England,E07000240,St Albans,2795,0.396453901,4255,0.603546099,17.32
East of England,E07000241,Welwyn Hatfield,2370,0.312252964,5220,0.687747036,12.37
East of England,E07000242,East Hertfordshire,3875,0.456688273,4610,0.543311727,12.62
East of England,E07000243,Stevenage,2430,0.386020651,3865,0.613979349,8.29
East of England,E07000244,East Suffolk,4930,0.402284782,7325,0.597715218,9.74
East of England,E07000245,West Suffolk,4485,0.305725971,10185,0.694274029,9.5
South West,E07000246,Somerset West and Taunton,3445,0.384057971,5525,0.615942029,9.16
North West,E08000001,Bolton,6950,0.384402655,11130,0.615597345,6.02
North West,E08000002,Bury,5080,0.426890756,6820,0.573109244,7.5
North West,E08000003,Manchester,11870,0.196979754,48390,0.803020246,6.67
North West,E08000004,Oldham,5345,0.371955463,9025,0.628044537,5.99
North West,E08000005,Rochdale,5705,0.394809689,8745,0.605190311,6.23
North West,E08000006,Salford,7885,0.255136709,23020,0.744863291,6.74
North West,E08000007,Stockport,8160,0.459459459,9600,0.540540541,10.01
North West,E08000008,Tameside,6240,0.385066338,9965,0.614933662,6.61
North West,E08000009,Trafford,5125,0.416159156,7190,0.583840844,10.3
North West,E08000010,Wigan,10305,0.455771782,12305,0.544228218,5.67
North West,E08000011,Knowsley,4810,0.426986241,6455,0.573013759,5.21
North West,E08000012,Liverpool,10400,0.226876091,35440,0.773123909,5.05
North West,E08000013,St. Helens,5020,0.404838710,7380,0.595161290,4.69
North West,E08000014,Sefton,5960,0.405718176,8730,0.594281824,6.78
North West,E08000015,Wirral,7160,0.370025840,12190,0.629974160,7.22
Yorkshire and The Humber,E08000016,Barnsley,7565,0.413387978,10735,0.586612022,5.02
Yorkshire and The Humber,E08000017,Doncaster,8725,0.390555058,13615,0.609444942,5.56
Yorkshire and The Humber,E08000018,Rotherham,7865,0.427561837,10530,0.572438163,5.71
Yorkshire and The Humber,E08000019,Sheffield,14565,0.306019540,33030,0.693980460,6.14
North East,E08000021,Newcastle upon Tyne,7615,0.260520014,21615,0.739479986,5.9
North East,E08000022,North Tyneside,6150,0.418082937,8560,0.581917063,6.53
North East,E08000023,South Tyneside,3775,0.358499525,6755,0.641500475,5.85
North East,E08000024,Sunderland,6825,0.354821939,12410,0.645178061,4.96
West Midlands,E08000025,Birmingham,23030,0.281626414,58745,0.718373586,6.49
West Midlands,E08000026,Coventry,7840,0.292046936,19005,0.707953064,5.96
West Midlands,E08000027,Dudley,8665,0.414196941,12255,0.585803059,6.6
West Midlands,E08000028,Sandwell,6275,0.298028972,14780,0.701971028,6.17
West Midlands,E08000029,Solihull,5050,0.444542254,6310,0.555457746,9.15
West Midlands,E08000030,Walsall,6015,0.328419328,12300,0.671580672,6.35
West Midlands,E08000031,Wolverhampton,4865,0.283343040,12305,0.716656960,6.16
Yorkshire and The Humber,E08000032,Bradford,13585,0.376315789,22515,0.623684211,5.37
Yorkshire and The Humber,E08000033,Calderdale,5275,0.389011799,8285,0.610988201,5.88
Yorkshire and The Humber,E08000034,Kirklees,11485,0.402417659,17055,0.597582341,6.57
Yorkshire and The Humber,E08000035,Leeds,23350,0.309087299,52195,0.690912701,7.08
Yorkshire and The Humber,E08000036,Wakefield,11615,0.448109568,14305,0.551890432,5.93
North East,E08000037,Gateshead,5255,0.358091993,9420,0.641908007,5.69
London,E09000001,City of London,240,0.138728324,1490,0.861271676,11.48
London,E09000002,Barking and Dagenham,3420,0.284171167,8615,0.715828833,10.3
London,E09000003,Barnet,6405,0.270025295,17315,0.729974705,16.55
London,E09000004,Bexley,5955,0.476972367,6530,0.523027633,13.26
London,E09000005,Brent,4010,0.200550138,15985,0.799449862,16.05
London,E09000006,Bromley,7245,0.423808131,9850,0.576191869,14.54
London,E09000007,Camden,3695,0.152151534,20590,0.847848466,18.61
London,E09000008,Croydon,8380,0.335871743,16570,0.664128257,11.88
London,E09000009,Ealing,5025,0.231673582,16665,0.768326418,16.35
London,E09000010,Enfield,4145,0.260200879,11785,0.739799121,14.92
London,E09000011,Greenwich,6720,0.284926860,16865,0.715073140,13.35
London,E09000012,Hackney,5170,0.174455880,24465,0.825544120,14.92
London,E09000013,Hammersmith and Fulham,4575,0.198438517,18480,0.801561483,19.32
London,E09000014,Haringey,4065,0.200691187,16190,0.799308813,17.26
London,E09000015,Harrow,3235,0.285651214,8090,0.714348786,16.15
London,E09000016,Havering,6355,0.458679177,7500,0.541320823,12.52
London,E09000017,Hillingdon,4770,0.300472441,11105,0.699527559,13.56
London,E09000018,Hounslow,3675,0.231350331,12210,0.768649669,12.13
London,E09000019,Islington,4835,0.165073404,24455,0.834926596,14.73
London,E09000020,Kensington and Chelsea,2705,0.179853723,12335,0.820146277,36.52
London,E09000021,Kingston upon Thames,3215,0.299906716,7505,0.700093284,15.22
London,E09000022,Lambeth,10065,0.254295099,29515,0.745704901,15.63
London,E09000023,Lewisham,7160,0.275120077,18865,0.724879923,14.23
London,E09000024,Merton,4205,0.302300503,9705,0.697699497,15.89
London,E09000025,Newham,6070,0.225524800,20845,0.774475200,11.72
London,E09000026,Redbridge,4110,0.285119667,10305,0.714880333,15.84
London,E09000027,Richmond upon Thames,2825,0.296899632,6690,0.703100368,19.62
London,E09000028,Southwark,8265,0.227341494,28090,0.772658506,13.51
London,E09000029,Sutton,4415,0.400271985,6615,0.599728015,14.24
London,E09000030,Tower Hamlets,8095,0.183248444,36080,0.816751556,11
London,E09000031,Waltham Forest,6060,0.326332795,12510,0.673667205,15.57
London,E09000032,Wandsworth,10960,0.265922601,30255,0.734077399,19.1
London,E09000033,Westminster,3770,0.145531751,22135,0.854468249,18.88
Wales,W06000001,Isle of Anglesey,1255,0.359084406,2240,0.640915594,6.8
Wales,W06000002,Gwynedd,2380,0.321839080,5015,0.678160920,6.81
Wales,W06000003,Conwy,2180,0.381452318,3535,0.618547682,7.37
Wales,W06000004,Denbighshire,1905,0.365292426,3310,0.634707574,6.29
Wales,W06000005,Flintshire,4395,0.5,4395,0.5,6.19
Wales,W06000006,Wrexham,3035,0.353935860,5540,0.646064140,5.92
Wales,W06000008,Ceredigion,1130,0.271308523,3035,0.728691477,7.82
Wales,W06000009,Pembrokeshire,2440,0.351585014,4500,0.648414986,7.21
Wales,W06000010,Carmarthenshire,4485,0.437774524,5760,0.562225476,5.72
Wales,W06000011,Swansea,5665,0.315862838,12270,0.684137162,6.1
Wales,W06000012,Neath Port Talbot,3925,0.440269209,4990,0.559730791,4.42
Wales,W06000013,Bridgend,4430,0.484948002,4705,0.515051998,5.75
Wales,W06000014,Vale of Glamorgan,3575,0.471635884,4005,0.528364116,9.66
Wales,W06000015,Cardiff,9955,0.290317877,24335,0.709682123,8.14
Wales,W06000016,Rhondda Cynon Taf,7150,0.422576832,9770,0.577423168,4.88
Wales,W06000018,Caerphilly,5205,0.458388375,6150,0.541611625,5.24
Wales,W06000019,Blaenau Gwent,1830,0.371196755,3100,0.628803245,3.63
Wales,W06000020,Torfaen,2670,0.423473434,3635,0.576526566,5.63
Wales,W06000021,Monmouthshire,1740,0.422843256,2375,0.577156744,10.38
Wales,W06000022,Newport,4945,0.427583225,6620,0.572416775,7.08
Wales,W06000023,Powys,2340,0.366197183,4050,0.633802817,7.74
Wales,W06000024,Merthyr Tydfil,1700,0.394889663,2605,0.605110337,4.87
